DATE,CMRMTSPL
2014-01-01,1328414.000
2014-02-01,1339979.000
2014-03-01,1350652.000
2014-04-01,1352609.000
2014-05-01,1356343.000
2014-06-01,1355815.000
2014-07-01,1364444.000
2014-08-01,1366998.000
2014-09-01,1366811.000
2014-10-01,1368570.000
2014-11-01,1372234.000
2014-12-01,1380177.000
2015-01-01,1382524.000
2015-02-01,1376941.000
2015-03-01,1384614.000
2015-04-01,1395091.000
2015-05-01,1381123.000
2015-06-01,1383784.000
2015-07-01,1386840.000
2015-08-01,1388664.000
2015-09-01,1403145.000
2015-10-01,1399866.000
2015-11-01,1396940.000
2015-12-01,1394894.000
2016-01-01,1396176.000
2016-02-01,1406138.000
2016-03-01,1407976.000
2016-04-01,1406605.000
2016-05-01,1398379.000
2016-06-01,1406063.000
2016-07-01,1405965.000
2016-08-01,1415004.000
2016-09-01,1419177.000
2016-10-01,1421561.000
2016-11-01,1421097.000
2016-12-01,1438392.000
2017-01-01,1433704.000
2017-02-01,1430977.000
2017-03-01,1429826.000
2017-04-01,1427873.000
2017-05-01,1431290.000
2017-06-01,1436616.000
2017-07-01,1442505.000
2017-08-01,1448220.000
2017-09-01,1456158.000
2017-10-01,1464552.000
2017-11-01,1476094.000
2017-12-01,1483714.000
2018-01-01,1468558.000
2018-02-01,1472029.000
2018-03-01,1471593.000
2018-04-01,1470363.000
2018-05-01,1479142.000
2018-06-01,1476611.000
2018-07-01,1479229.000
2018-08-01,1486357.000
2018-09-01,1489318.000
2018-10-01,1489682.000
2018-11-01,1493283.000
2018-12-01,1493022.000
2019-01-01,1509171.000
