DATE,NEWORDER
2014-01-01,67762.0
2014-02-01,67070.0
2014-03-01,68342.0
2014-04-01,66364.0
2014-05-01,65673.0
2014-06-01,69509.0
2014-07-01,67494.0
2014-08-01,68369.0
2014-09-01,69193.0
2014-10-01,65659.0
2014-11-01,63627.0
2014-12-01,65706.0
2015-01-01,64937.0
2015-02-01,64192.0
2015-03-01,64407.0
2015-04-01,64131.0
2015-05-01,62340.0
2015-06-01,63624.0
2015-07-01,63441.0
2015-08-01,63405.0
2015-09-01,63298.0
2015-10-01,63356.0
2015-11-01,62334.0
2015-12-01,60537.0
2016-01-01,61074.0
2016-02-01,60710.0
2016-03-01,59891.0
2016-04-01,60168.0
2016-05-01,58923.0
2016-06-01,59059.0
2016-07-01,59333.0
2016-08-01,60984.0
2016-09-01,58991.0
2016-10-01,59052.0
2016-11-01,58969.0
2016-12-01,59072.0
2017-01-01,61202.0
2017-02-01,61363.0
2017-03-01,61541.0
2017-04-01,61763.0
2017-05-01,61509.0
2017-06-01,60755.0
2017-07-01,61558.0
2017-08-01,61667.0
2017-09-01,63859.0
2017-10-01,63801.0
2017-11-01,63309.0
2017-12-01,63596.0
2018-01-01,62956.0
2018-02-01,62836.0
2018-03-01,63326.0
2018-04-01,64637.0
2018-05-01,64510.0
2018-06-01,66115.0
2018-07-01,68474.0
2018-08-01,65799.0
2018-09-01,65848.0
2018-10-01,66446.0
2018-11-01,64336.0
2018-12-01,65150.0
2019-01-01,66454.0
