DATE,PERMIT
2014-01-01,976.0
2014-02-01,1039.0
2014-03-01,1067.0
2014-04-01,1090.0
2014-05-01,1018.0
2014-06-01,1010.0
2014-07-01,1076.0
2014-08-01,1047.0
2014-09-01,1077.0
2014-10-01,1094.0
2014-11-01,1059.0
2014-12-01,1070.0
2015-01-01,1048.0
2015-02-01,1127.0
2015-03-01,1078.0
2015-04-01,1161.0
2015-05-01,1275.0
2015-06-01,1378.0
2015-07-01,1139.0
2015-08-01,1165.0
2015-09-01,1143.0
2015-10-01,1158.0
2015-11-01,1245.0
2015-12-01,1209.0
2016-01-01,1167.0
2016-02-01,1186.0
2016-03-01,1119.0
2016-04-01,1155.0
2016-05-01,1198.0
2016-06-01,1204.0
2016-07-01,1193.0
2016-08-01,1203.0
2016-09-01,1282.0
2016-10-01,1271.0
2016-11-01,1236.0
2016-12-01,1251.0
2017-01-01,1313.0
2017-02-01,1239.0
2017-03-01,1292.0
2017-04-01,1255.0
2017-05-01,1209.0
2017-06-01,1326.0
2017-07-01,1265.0
2017-08-01,1309.0
2017-09-01,1257.0
2017-10-01,1339.0
2017-11-01,1299.0
2017-12-01,1312.0
2018-01-01,1365.0
2018-02-01,1332.0
2018-03-01,1415.0
2018-04-01,1387.0
2018-05-01,1330.0
2018-06-01,1317.0
2018-07-01,1331.0
2018-08-01,1258.0
2018-09-01,1290.0
2018-10-01,1267.0
2018-11-01,1319.0
2018-12-01,1334.0
2019-01-01,1316.0
