DATE,W875RX1
2014-01-01,11810.5
2014-02-01,11891.9
2014-03-01,11953.7
2014-04-01,11983.3
2014-05-01,12013.4
2014-06-01,12069.7
2014-07-01,12114.2
2014-08-01,12179.2
2014-09-01,12222.6
2014-10-01,12281.3
2014-11-01,12349.4
2014-12-01,12421.1
2015-01-01,12544.5
2015-02-01,12593.4
2015-03-01,12549.2
2015-04-01,12581.7
2015-05-01,12609.0
2015-06-01,12621.2
2015-07-01,12652.8
2015-08-01,12684.8
2015-09-01,12720.6
2015-10-01,12753.5
2015-11-01,12743.8
2015-12-01,12791.6
2016-01-01,12799.6
2016-02-01,12795.7
2016-03-01,12805.9
2016-04-01,12792.1
2016-05-01,12786.7
2016-06-01,12803.0
2016-07-01,12850.4
2016-08-01,12853.6
2016-09-01,12900.3
2016-10-01,12919.9
2016-11-01,12957.1
2016-12-01,12989.2
2017-01-01,13036.6
2017-02-01,13090.5
2017-03-01,13151.1
2017-04-01,13179.6
2017-05-01,13268.9
2017-06-01,13276.6
2017-07-01,13323.2
2017-08-01,13349.4
2017-09-01,13393.3
2017-10-01,13449.2
2017-11-01,13508.8
2017-12-01,13543.5
2018-01-01,13560.5
2018-02-01,13590.8
2018-03-01,13630.2
2018-04-01,13644.7
2018-05-01,13676.6
2018-06-01,13724.3
2018-07-01,13791.9
2018-08-01,13838.9
2018-09-01,13826.8
2018-10-01,13837.0
2018-11-01,13856.1
2018-12-01,14006.3
2019-01-01,13988.1
